spCN,sp,tag,gx,gy,dbh,height
ÄÏËáÔæ,CHOAXI,T19050165,366.5,92.8,28.6,7.7
Ï¸Ö¦èÚ,EURLOQ,T16150222,300.1,281.4,1.6,2.3
¸Û¿Â,LITHAR,T11200287,218.8,397.4,2.7,2
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09080038,160.3,157.4,9.8,5.8
Ï¸Ö¦èÚ,EURLOQ,T14100240,270.3,182,3.6,4.19
ºìéª,MACTHU,T02040000,24.5,62,30,37.3
»Æµ¤Ä¾½ª×Ó,LITELO,T20050191,391,90,10.2,16.3
ºì¶¾Üî,ILLLAN,T14140172,260.5,276.5,4,4.4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T23010002,444,20,2.4,2.8
Ï¸Ö¦èÚ,EURLOQ,T0101B04505,17,4,2.6,4.16
Ïã¹ð,CINSUB,T03080120,47.2,147.9,20.8,25.3
»Æµ¤Ä¾½ª×Ó,LITELO,T16040043,306.8,75.3,1.2,1.7
»ÆÌ´,DALHUP,T24170014,466,336.1,13,18.9
Ï¸Ö¦èÚ,EURLOQ,T09150027,172.2,297.9,5.1,3.85
Ï¸Ö¦èÚ,EURLOQ,T07030018,124.7,43,2.9,3.46
Ï¸Ö¦èÚ,EURLOQ,T21050002,401.3,98.4,3.8,3.45
Ã«»¨Á¬Èï²è,CAMFRA,T11130343,210.8,244.7,1.9,2.35
Ï¸Ö¦èÚ,EURLOQ,T06070049,103,138,3.8,3.3
»Æµ¤Ä¾½ª×Ó,LITELO,T03050130,46.5,96.8,4,3.3
Ï¸Ö¦èÚ,EURLOQ,T21020087,407.2,31.2,2.2,3.1
Ï¸Ö¦èÚ,EURLOQ,T14090143,273.5,177.2,2.1,2.65
Ï¸Ö¦èÚ,EURLOQ,T12130124,232.8,254.8,1.2,2.5
Ã«»¨Á¬Èï²è,CAMFRA,T24130033,477.5,250.5,1.8,2.9
ºìéª,MACTHU,T22010025,422.5,16.2,2.6,2.65
ÔÆÉ½Çà¸Ô,CYCSES,T10200030,190.5,396.3,8.2,5.3
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T20100213,387.2,195,4.7,4.75
Ï¸Ö¦èÚ,EURLOQ,T19020199,368.5,28.5,4.2,4.3
Ï¸Ö¦èÚ,EURLOQ,T14090152,278.2,178.2,3.2,3.3
¸Û¿Â,LITHAR,T19160117,375.7,316.2,8,6
ÒË²ý¼ÔÉo,VIBERO,T02140232,33.2,273.7,1.8,2.8
Ï¸Ö¦èÚ,EURLOQ,T19070157,368.5,139,2.1,2.8
»Æµ¤Ä¾½ª×Ó,LITELO,T16050225,316.3,80.4,1.3,2.17
Ð¡Ò¶Çà¸Ô,CYCMYR,T10010176,198,7.5,12.3,4.86
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T13090168,245.9,174.8,14,6.5
Ð¡Ò¶Çà¸Ô,CYCMYR,T13190076,254.5,379.5,6.2,2.45
»Æµ¤Ä¾½ª×Ó,LITELO,T03080222,54.8,149.5,18.9,12.6
Ï¸Ö¦èÚ,EURLOQ,T24090137,472.8,172.5,2,2.5
»Æµ¤Ä¾½ª×Ó,LITELO,T19040295,375,63.8,4.3,5
É½·¯,SYMSUM,T22090112,436.4,160.8,1.4,1.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01180124,8.2,342.5,11.5,13.1
¹âÒ¶É½·¯,SYMLAN,T13130263,248.8,244.9,7.5,5
Ï¸Ö¦èÚ,EURLOQ,T11040157,215.5,64,4.6,4.49
Ï¸Ö¦èÚ,EURLOQ,T21040277,415.3,60.8,1.4,2.47
Ï¸Ö¦èÚ,EURLOQ,T17160097,328.5,308.8,1.8,2.71
»Æµ¤Ä¾½ª×Ó,LITELO,T25070049,480.7,132.6,2.4,3.4
¸Û¿Â,LITHAR,T08100262,159.2,183.8,24.2,12.3
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T20030218,381.9,52.5,4.7,5.6
Ï¸Ö¦èÚ,EURLOQ,T04120088,64,230,2.3,2.62
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09040278,176.4,64,6.3,4.9
»ÆÅ£ÄÌÊ÷,SYMCOC,T20160015,388.8,300.2,8.3,6
ÓÍÊÁ,DIOOLE,T17090071,328,167.5,17.6,14.4
ÄÏËáÔæ,CHOAXI,T21060041,408,117.2,31.4,25.3
¹âÁÁÉ½·¯,SYMLUC,T01060177,5,111.5,3.9,3.5
¹âÁÁÉ½·¯,SYMLUC,T15110146,297.8,217.9,8.5,5.8
ºúÌÒé±,JUGMAN,T20120014,393.5,235.8,29.4,38.6
±¡Ò¶Èóéª,MACLEP,T17120172,328.9,238,23,12.8
Ï¸Ö¦èÚ,EURLOQ,T14090160,278,174.2,4.3,3.77
º¼ÖÝÓÜ,ULMCHA,T03060271,53.8,108.8,5.2,4.89
»Æµ¤Ä¾½ª×Ó,LITELO,T16040227,317.3,61.6,7.3,6.3
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T06160239,103.5,301.5,3.3,3.65
Ï¸Ö¦èÚ,EURLOQ,T03030380,58.5,47.5,4.2,4.7
»Æµ¤Ä¾½ª×Ó,LITELO,T10200065,180.5,391,8.8,6.3
±¡Ò¶É½·¯,SYMANO,T01140364,14.7,277.2,4.2,4.25
Ï¸Ö¦èÚ,EURLOQ,T21060088,407,110.1,4.2,4.38
¹âÁÁÉ½·¯,SYMLUC,T0820B2072,145.2,397.1,1.7,2.65
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06130197,115,252.7,14.2,16.1
Ï¸Ö¦èÚ,EURLOQ,T20040076,399.8,62.2,3.2,3.85
ÔÆÉ½Çà¸Ô,CYCSES,T25190061,491.1,360.1,7,5.4
´óÒ¶¶¬Çà,ILELAT,T17090137,335,163,4.6,2.21
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03030126,40.8,58,3.9,4.68
ÔÆÉ½Çà¸Ô,CYCSES,T21030117,413.5,50.3,24.8,14
Ïã¹ð,CINSUB,T20150088,399.5,283.5,3.6,4.75
Ï¸Ö¦èÚ,EURLOQ,T24030270,476.2,55.6,2.8,4
»Æµ¤Ä¾½ª×Ó,LITELO,T25070245,491.2,131.8,2.3,3.4
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T06040269,114,61.8,17.5,33.2
Ï¸Ö¦èÚ,EURLOQ,T16040210,315,67,3.1,4.36
Ï¸Ö¦èÚ,EURLOQ,T09090008,163.1,161.9,4.2,4.2
Ï¸Ö¦èÚ,EURLOQ,T11030157,211.4,40,3.5,4.05
ÑîÃ·,MYRRUB,T07160057,121.1,306,20.8,5.1
ºìµ­±È,CLEJAP,T18100154,359.5,181.5,9.8,7
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07080267,136.8,153,3.9,4.53
»Æµ¤Ä¾½ª×Ó,LITELO,T05040055,80,73.9,1.2,2.42
ÂíÒø»¨,RHOOVA,T06200228,118,397.3,3.4,2.49
¸ñÒ©èÚ,EURMUR,T01110082,1,218.9,1.4,2.65
Ï¸Ö¦èÚ,EURLOQ,T20040271,384.9,70,3.4,3.63
ÔÆÉ½Çà¸Ô,CYCSES,T22130057,434,254.6,4.6,3.9
Ã«»¨Á¬Èï²è,CAMFRA,T03100231,51,186,2.1,3.75
ºìéª,MACTHU,T13170154,250,326,7.2,5.3
¸Û¿Â,LITHAR,T08160104,147,315.7,22.9,9.8
Ï¸Ö¦èÚ,EURLOQ,T24040246,477.05,74.1,2,2.78
»Æµ¤Ä¾½ª×Ó,LITELO,T18080049,344,157,3,3.26
Ï¸Ö¦èÚ,EURLOQ,T18020285,357.8,36.1,2.2,3.92
¸Û¿Â,LITHAR,T05200008,95.8,383.8,18.8,10.5
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T21040124,409,60.9,12.7,7.2
Ã«»¨Á¬Èï²è,CAMFRA,T09080120,175,146,3.7,4.17
³àÑîÒ¶,ALNFOR,T06080005,101.2,143.2,6.8,11.8
ÏÙÒ¶¹ðÓ£,LAUPHA,T16090168,318.5,178,3,4.61
»Æµ¤Ä¾½ª×Ó,LITELO,T15070057,290.1,136.2,3,4.8
Ã«»¨Á¬Èï²è,CAMFRA,T16140136,308.7,277.2,1.5,2.47
Ï¸Ö¦èÚ,EURLOQ,T0916B03093,176.1,303.8,4.2,3.38
Ï¸Ö¦èÚ,EURLOQ,T12100026,224.8,190,2.6,3.05
Ï¸Ö¦èÚ,EURLOQ,T05070092,87.8,136.7,2.6,3.12
»Æµ¤Ä¾½ª×Ó,LITELO,T14040161,270,62.8,2.5,3.38
ºìéª,MACTHU,T25130201,488,255,3.8,2.45
»Æµ¤Ä¾½ª×Ó,LITELO,T03030334,50,49,2,2.97
ÄÏËáÔæ,CHOAXI,T1212B0611,224,225.1,28.7,14
Ï¸Ö¦èÚ,EURLOQ,T20020199,383,20.9,4.3,3.85
Ã«»¨Á¬Èï²è,CAMFRA,T11040093,211.8,70.5,10.2,19.9
ºìµ­±È,CLEJAP,T21060266,418.2,114.7,2.3,2.8
Ï¸Ö¦èÚ,EURLOQ,T22070302,436.1,133,4.7,3.48
Ã«»¨Á¬Èï²è,CAMFRA,T24070199,468.1,130.6,1.8,2.42
Ï¸Ö¦èÚ,EURLOQ,T24030255,479,52.6,3.2,3.92
Ê¯°ßÄ¾,RHAIND,T01200248,10,388.2,1.5,2.21
Î÷´¨ÆÓ,CELVAN,T18140241,356,279.8,5.7,6
Ï¸Ö¦èÚ,EURLOQ,T13140219,245.5,275.5,2.3,2.68
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T12020093,232.5,22.5,3.2,4.08
»Æµ¤Ä¾½ª×Ó,LITELO,T03060197,43.9,110.3,2.7,3.91
éßÄ¾,SASTZU,T01050176,3.4,98,32.1,29.3
Ï¸Ö¦èÚ,EURLOQ,T15140044,281.3,274,2.2,3.29
Äþ²¨Ä¾Ï¬,OSMCOO,T09160153,167.8,305.7,6,2
ºìéª,MACTHU,T05100069,92,180,2,3.1
±ªÆ¤ÕÁ,LITCOR,T18010146,349,5,7.1,14.7
É½Í©×Ó,IDEPOL,T19190029,376.5,360.1,27.3,15.3
Ä¾ºÉ,SCHSUP,T07100166,140,195.2,10.6,8.3
À×¹«¶ì¶úèÀ,CARVIM,T01170267,5.5,320.5,21.6,12.8
Ï¸Ö¦èÚ,EURLOQ,T07020095,121.8,37,2.7,3.56
»Æµ¤Ä¾½ª×Ó,LITELO,T11030201,216.2,51.5,1.6,2.06
×Ïéª,PHOSHE,T19110010,362.5,206.5,11.5,19.8
Ï¸Ö¦èÚ,EURLOQ,T09110112,166.8,214.8,2.9,3
»Æµ¤Ä¾½ª×Ó,LITELO,T18010071,353.4,0.5,2.2,3.21
Ã«»¨Á¬Èï²è,CAMFRA,T21180107,417.5,353.5,1.5,2.53
Ï¸Ö¦èÚ,EURLOQ,T23020199,442,33.7,2.4,4
×Ïéª,PHOSHE,T04040075,74.5,70.2,1.5,2.12
Ï¸Ö¦èÚ,EURLOQ,T09070194,176.5,120,2.4,3.15
»Æµ¤Ä¾½ª×Ó,LITELO,T16080075,309,141.7,2.3,3.26
¸ñÒ©èÚ,EURMUR,T02080221,33,149.6,1.6,1.72
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T0216B00921,28,316.8,3.1,3.85
¹âÒ¶É½·¯,SYMLAN,T11020219,214.6,30,4.7,4.07
»Æµ¤Ä¾½ª×Ó,LITELO,T10050197,183,97.2,9.9,14.2
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01060010,3.2,103.2,4.3,5.6
Ï¸Ö¦èÚ,EURLOQ,T04100235,64,194.2,2.5,2.76
»Æµ¤Ä¾½ª×Ó,LITELO,T20070201,394.2,127.6,1.8,1.7
¸Û¿Â,LITHAR,T15030000,284.1,40,13.5,16.2
ÈüÉ½Ã·,STYCON,T09140250,167.3,264.7,4.9,4.3
Ä¾ºÉ,SCHSUP,T01200151,4.8,395.8,7.2,4.88
ÔÆÉ½Çà¸Ô,CYCSES,T22190024,425.2,376,12.5,5.5
Ï¸Ö¦èÚ,EURLOQ,T09050187,169.1,97.3,4.4,4.87
Ð¡Ò¶Çà¸Ô,CYCMYR,T07160131,126,314.7,5.3,4.4
»Æµ¤Ä¾½ª×Ó,LITELO,T16030054,307.9,55,2.4,3.42
ÈüÉ½Ã·,STYCON,T08190073,143.8,367,2.7,1.75
Öå±ú¶¬Çà,ILEKEN,T02060173,32.6,112.8,3.7,4.16
Ï¸Ö¦èÚ,EURLOQ,T20010106,392.6,9,1.7,2.05
Ï¸Ö¦èÚ,EURLOQ,T09020108,161.2,27,3.1,3.92
èàÊ÷,CASFAR,T09020156,170,34,30.7,15.6
Ï¸Ö¦èÚ,EURLOQ,T13080173,251.5,151.5,4.7,2.75
»Æµ¤Ä¾½ª×Ó,LITELO,T24070270,474.5,132.3,3.7,4.45
»Æµ¤Ä¾½ª×Ó,LITELO,T03070214,47.3,136.5,6.8,5.8
ÄÏËáÔæ,CHOAXI,T10200210,188.7,381.1,3.4,3.52
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T23070042,442,134,6.5,5
»¢Æ¤éª,DAPOLD,T08120083,143.4,239.6,5.1,4.01
Ã«»¨Á¬Èï²è,CAMFRA,T16070158,302.8,123,2.5,3.9
èàÊ÷,CASFAR,T22030098,426.9,53.8,35.7,36.6
Ï¸Ö¦èÚ,EURLOQ,T06130046,104,259,3.9,4.8
Ï¸Ö¦èÚ,EURLOQ,T05060193,97.5,117.5,6.2,3.97
ÄÏËáÔæ,CHOAXI,T04010030,66.9,1.6,62.2,33.9
Õ­»ùºìºÖèÚ,EURRUB,T03200084,58,397.4,2.4,3.21
ºúÌÒé±,JUGMAN,T24180071,461,347,21.2,11.2
ÄÏËáÔæ,CHOAXI,T02120173,32.1,220.3,34.5,39.3
ÔÆÉ½Çà¸Ô,CYCSES,T21120110,406,224,8.1,15.4
±¡Ò¶É½·¯,SYMANO,T02130178,37,256.1,1.9,2.75
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02020089,25,38.6,2.2,3.13
»ÆÅ£ÄÌÊ÷,SYMCOC,T19130271,362,244,1.6,1.9
Ïã¹ð,CINSUB,T16200124,315,380.8,2.9,4.1
ÔÆÉ½Çà¸Ô,CYCSES,T23150043,454,289,4.5,2.6
ÖÐ»ªÎÀÃ¬,EUONIT,T04040014,64.1,70,4.1,4.46
»ÆÅ£ÄÌÊ÷,SYMCOC,T01090099,15.7,177.2,2.7,4.2
±¡Ò¶Èóéª,MACLEP,T05040102,86.5,74.7,10.8,17.2
Õ­»ùºìºÖèÚ,EURRUB,T01180045,2,352.2,1.3,2.13
Ï¸Ö¦èÚ,EURLOQ,T13110201,243.1,212.4,3.2,3.75
¸Û¿Â,LITHAR,T0819B02923,159.5,368.5,18.6,6.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01010222,13,3,2.1,2.45
Ï¸Ö¦èÚ,EURLOQ,T09050217,160.6,87,2.2,2.84
Ï¸Ö¦èÚ,EURLOQ,T13130193,247.7,255,2.6,3.15
ÎÞ»¼×Ó,SAPSAP,T21120116,408.8,233.9,14,19.6
¹âÒ¶Ê¯éª,PHOGLA,T13150232,257.3,294.8,4.3,2.5
Ã«»¨Á¬Èï²è,CAMFRA,T02110041,27,217,2.2,3.95
Ï¸Ö¦èÚ,EURLOQ,T10040049,186.5,77.6,2.7,3.33
Ï¸Ö¦èÚ,EURLOQ,T24040124,472.4,71.8,1.6,3
»Æµ¤Ä¾½ª×Ó,LITELO,T03050275,52.7,96.3,1.9,2.6
Ï¸Ö¦èÚ,EURLOQ,T15170196,292.5,320.9,3.9,3.73
Ã«»¨Á¬Èï²è,CAMFRA,T19130148,364,249,1.9,3.2
Ï¸Ö¦èÚ,EURLOQ,T25050069,487,85.9,2.6,3.56
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01080172,19.5,142.8,19,14.1
ºìµ­±È,CLEJAP,T16050097,307.8,87.5,3,2.95
±¡Ò¶Èóéª,MACLEP,T18170210,348,336.3,23.2,14.1
Ï¸Ö¦èÚ,EURLOQ,T24040263,478.9,70.9,3.9,4.85
Ï¸Ö¦èÚ,EURLOQ,T11170065,218.5,325.5,4.6,4
Ã«»¨Á¬Èï²è,CAMFRA,T14130254,274,243.3,1.9,2.57
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03020153,47,40.5,6,17.9
ÇàÆ¤Ä¾,SCHJAS,T04190371,64,374.2,17.8,19.2
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02170116,29.1,326,15.7,16.7
Õ­»ùºìºÖèÚ,EURRUB,T02040150,37.4,78.4,1.6,2.95
Ï¸Ö¦èÚ,EURLOQ,T07030071,120.8,48.6,1.8,2.23
±¡Ò¶Èóéª,MACLEP,T18170134,343.5,332,2.6,3
Ï¸Ö¦èÚ,EURLOQ,T0705B0586,134.5,97.2,2.5,3.1
Ã«»¨Á¬Èï²è,CAMFRA,T06190269,115,367.3,3.2,3.45
É½·¯,SYMSUM,T13190206,249.5,368.5,3.5,3.35
Ã«»¨Á¬Èï²è,CAMFRA,T15050191,298.5,95,1.9,1.86
¹âÁÁÉ½·¯,SYMLUC,T03170020,59.5,334,3.1,3.55
Ï¸Ö¦èÚ,EURLOQ,T19020230,367.8,24.3,5.4,4.4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06130014,101.6,244.9,3.7,3.9
¹âÁÁÉ½·¯,SYMLUC,T08030109,153,52,3.9,2.81
Ã«»¨Á¬Èï²è,CAMFRA,T13120258,246,231.8,6.2,4.55
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T23050192,452.5,96.5,7.2,18.5
ºìéª,MACTHU,T22080050,436,148,2.5,3.8
ºñÆ¤Ïã,TERGYM,T07140081,132,278.5,4.9,3.5
Ï¸Ö¦èÚ,EURLOQ,T14090174,275.8,170.8,3.9,3.63
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T08030140,156.4,52.4,4.4,6.5
¹âÁÁÉ½·¯,SYMLUC,T23100186,455,182.7,2.4,2.55
¸Û¿Â,LITHAR,T17170215,325.3,335.2,3.7,4
Ï¸Ö¦èÚ,EURLOQ,T18020186,351,21,3.5,4
±¡Ò¶É½·¯,SYMANO,T01170258,9,321.4,2.8,3.32
Ï¸Ö¦èÚ,EURLOQ,T24060300,478.8,114,1.8,2.25
ºìµ­±È,CLEJAP,T13140064,258.3,278.3,2.7,2.88
¸ñÒ©èÚ,EURMUR,T22190190,425.2,361.5,5.6,5.1
¹âÁÁÉ½·¯,SYMLUC,T09200021,163,384.3,5.3,4.44
Õ­»ùºìºÖèÚ,EURRUB,T08100050,142.1,185.7,3,3.45
Ï¸Ö¦èÚ,EURLOQ,T23020050,451.8,20.1,2.1,2.35
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T08120273,159,231.3,8.8,5.3
Ï¸Ö¦èÚ,EURLOQ,T11030220,212.3,57,2,2.95
Ï¸Ö¦èÚ,EURLOQ,T21100310,418.8,184.5,4.5,2.65
À×¹«¶ì¶úèÀ,CARVIM,T22080017,435.5,153.5,50.9,20.4
É½·¯,SYMSUM,T07090179,134.2,173.4,2.4,2.6
É½·¯,SYMSUM,T07030102,123,51.2,1.4,1.48
³àéª,SYZBUX,T07080274,137.7,155.6,2.5,3.12
ºì¶¾Üî,ILLLAN,T11160323,210.3,304.5,1.5,2.23
¿Â,LITGLA,T25030015,481.7,56.1,4.2,5.1
¸Û¿Â,LITHAR,T02140081,26.5,279.8,20.2,17.1
»Æµ¤Ä¾½ª×Ó,LITELO,T02140112,31.5,273.5,3.4,4.16
»Æµ¤Ä¾½ª×Ó,LITELO,T05100144,95.4,193,2.1,3.61
Ï¸Ö¦èÚ,EURLOQ,T14080132,260.1,148.2,4.8,3.21
É½·¯,SYMSUM,T12120022,238.8,226,2.9,2.4
±¡Ò¶É½·¯,SYMANO,T07170280,133,330.5,2.5,3.2
Ã«»¨Á¬Èï²è,CAMFRA,T10200041,190,399.9,3,3
±¡Ò¶É½·¯,SYMANO,T08150219,156.9,280.5,2.9,3.65
Ï¸Ö¦èÚ,EURLOQ,T21030034,404.4,44.5,3.6,3.38
Ï¸Ö¦èÚ,EURLOQ,T25080175,482.6,151.5,2.1,3.3
ÔÆÉ½Çà¸Ô,CYCSES,T14160272,276.5,309,4.5,3.76
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T20050215,397.1,97.6,2.2,2.82
Ï¸Ö¦èÚ,EURLOQ,T17110010,324.2,207.7,3.3,2.66
¸Û¿Â,LITHAR,T10190194,182.3,365.2,10.5,5
¸Û¿Â,LITHAR,T01180269,12,354.2,27.1,10.1
±¡Ò¶É½·¯,SYMANO,T02060093,20.1,111.4,3,4.4
Ï¸Ö¦èÚ,EURLOQ,T03070014,40.1,122,4.5,3.52
±¡Ò¶É½·¯,SYMANO,T06140157,108.1,273.1,4.5,3.75
¹âÁÁÉ½·¯,SYMLUC,T06190303,118.5,364,5.4,3.75
Ï¸Ö¦èÚ,EURLOQ,T10110090,187.2,205,3.1,4.15
Ï¸Ö¦èÚ,EURLOQ,T10090221,198.2,163.5,3.4,3.7
»Æµ¤Ä¾½ª×Ó,LITELO,T18060053,357.5,109.9,2.5,2.53
ÏÙÒ¶¹ðÓ£,LAUPHA,T17170015,331.5,321.1,3,2.56
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T03120022,41.9,230.6,4.3,5.6
Ï¸Ö¦èÚ,EURLOQ,T13110224,242.8,210.6,1.9,3.45
Õ­»ùºìºÖèÚ,EURRUB,T01020163,4.8,37.4,2.1,3.1
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T01140244,7.9,267,2.7,4.35
Ï¸Ö¦èÚ,EURLOQ,T18030208,358,46.5,2.3,2.65
ÏÙÒ¶¹ðÓ£,LAUPHA,T01200421,18.5,396.8,5.7,4.67
Ã«»¨Á¬Èï²è,CAMFRA,T14130228,273,252.5,3.2,3.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07010269,135.9,12.8,8,6.3
Ã«»¨Á¬Èï²è,CAMFRA,T08180415,151,353.4,2.4,3.8
Ï¸Ö¦èÚ,EURLOQ,T13100080,258,188.5,3.3,4.05
Ï¸Ö¦èÚ,EURLOQ,T24020065,465,36.2,3,3.35
Ï¸Ö¦èÚ,EURLOQ,T14060071,268.2,117,1.8,2.78
ºìµ­±È,CLEJAP,T20090065,382.7,167.6,15.1,19.9
Ï¸Ö¦èÚ,EURLOQ,T21030043,401.8,44.5,2.3,2.66
»ÆÅ£ÄÌÊ÷,SYMCOC,T22180106,420.2,347,2.4,2.9
Ï¸Ö¦èÚ,EURLOQ,T12150055,236.6,293.9,1.6,2.85
Ã«»¨Á¬Èï²è,CAMFRA,T19090152,370.2,176,1.7,2.1
Ã«»¨Á¬Èï²è,CAMFRA,T06130205,116.4,249.2,1.4,2.78
Çà¸Ô,CYCGLA,T0718B2143,137,353.3,2.5,3.1
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01040016,2,65.3,10.2,16.5
¸Û¿Â,LITHAR,T02180095,33.5,341.1,10,12
»Æµ¤Ä¾½ª×Ó,LITELO,T20090322,396.3,171.2,3.7,3.3
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T12100169,235,190.5,7.9,8.3
¸ñÒ©èÚ,EURMUR,T03100438,55.8,188.1,2.5,4.55
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06100003,102.6,198.5,10.6,7
¹âÒ¶Ê¯éª,PHOGLA,T21100183,409,199.5,5.9,5
»Æµ¤Ä¾½ª×Ó,LITELO,T03140136,44.5,271.4,5.9,5.1
ºì¶¾Üî,ILLLAN,T04120224,78.6,239.8,3.4,3.55
»¢Æ¤éª,DAPOLD,T21050167,409.2,85.1,7.6,5.6
Ï¸Ö¦èÚ,EURLOQ,T23010196,455.1,3.4,3.5,4.15
Ã«»¨Á¬Èï²è,CAMFRA,T25110204,481.1,209,2.3,3.68
ÂíÒø»¨,RHOOVA,T22100220,428.3,183.4,3.3,3.35
Ï¸Ö¦èÚ,EURLOQ,T25070364,499.6,124.7,2.3,3.2
ÔÆÉ½Çà¸Ô,CYCSES,T17180068,326.8,357.3,32.4,11.5
ÔÆÉ½Çà¸Ô,CYCSES,T07190132,129.5,373,6.1,5.1
Ï¸Ö¦èÚ,EURLOQ,T25090047,489.7,178.9,2.5,2.6
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T0216B00960,28,311.5,5.4,5
¶Ì¹£¶¬Çà,ILEBUE,T13010055,240.8,8.5,2.6,2.78
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06100191,105.1,186.5,2.8,3.55
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T0216B00995,28,305.8,3.2,4.22
Ï¸Ö¦èÚ,EURLOQ,T02030241,36.1,58.2,4.4,3.85
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10190184,188,365,10.7,7
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T07010289,138.8,17.7,8.1,13.1
ÔÆÉ½Çà¸Ô,CYCSES,T18040124,350.5,74.4,31.2,7
ÔÆÉ½Çà¸Ô,CYCSES,T09190133,174,379,20.3,5.2
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07010059,120.1,14,2.9,3.78
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01020139,0.6,33.8,2.2,3.15
»ÆÅ£ÄÌÊ÷,SYMCOC,T14010041,279.6,9.7,4.4,3.8
»Æµ¤Ä¾½ª×Ó,LITELO,T15030163,292,44.2,4.3,4.37
ºìéª,MACTHU,T24170026,470,331.7,15.9,17
»Æµ¤Ä¾½ª×Ó,LITELO,T15030184,293.1,49,7.7,6.7
Ã«»¨Á¬Èï²è,CAMFRA,T03050081,42.5,98.2,2,3.92
Ã«»¨Á¬Èï²è,CAMFRA,T17150046,337.2,282.2,2.8,3.37
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06100292,106.6,180.2,3,2.66
´óÇà,CLECYR,T23070089,447.5,135.1,3.3,5.2
¸Û¿Â,LITHAR,T05160086,87.5,305,27,17.1
Ï¸Ö¦èÚ,EURLOQ,T05050141,97.7,99,3.5,2.88
»Æµ¤Ä¾½ª×Ó,LITELO,T19090184,366.5,165,3,3.65
»Æµ¤Ä¾½ª×Ó,LITELO,T15150302,282.8,294.6,2.3,3.45
Ã«»¨Á¬Èï²è,CAMFRA,T25120168,483,227.4,2.2,2.55
ºìéª,MACTHU,T01200410,15.3,398.8,2.5,2.77
Ï¸Ö¦èÚ,EURLOQ,T15100030,285.2,188.2,1.8,2.78
Ã«»¨Á¬Èï²è,CAMFRA,T04020214,60,33.3,1.6,2.84
Ã«»¨Á¬Èï²è,CAMFRA,T13200115,251.8,395,1.7,3.35
»Æµ¤Ä¾½ª×Ó,LITELO,T19040074,361,65,3.2,4
Ï¸Ö¦èÚ,EURLOQ,T18100150,358.6,180.8,4.3,3.87
Ã«»¨Á¬Èï²è,CAMFRA,T15090197,292,161.2,1.3,1.95
½­ÄÏÔ½½Û,VACMAN,T12040132,236.5,78.5,5.6,3.4
Ï¸Ö¦èÚ,EURLOQ,T0705B0542,130.8,88.6,3.3,3
Ï¸Ö¦èÚ,EURLOQ,T12140124,230,278.8,2.7,3.2
