spCN,sp,tag,gx,gy,dbh,height
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07080247,133.5,152.7,6.5,5.5
ºì¶¾Üî,ILLLAN,T19050081,362.3,82,1.4,1.4
Ï¸Ö¦èÚ,EURLOQ,T20060250,381,118.2,3.9,4.15
¸ñÒ©èÚ,EURMUR,T10150291,183.5,294,2.8,4.05
Ã«ÂöéÊ,ACEPUB,T22170019,435,336.2,32.1,15.3
ºìÖ¦²ñ,MELOLD,T25170037,485,325.5,13.8,9.2
»Æµ¤Ä¾½ª×Ó,LITELO,T14040253,275.8,72.6,6.1,7
Ï¸Ö¦èÚ,EURLOQ,T20150059,392.5,292,1.9,1.85
»Æµ¤Ä¾½ª×Ó,LITELO,T11070037,200.1,134.6,4.9,4.75
ºì¶¾Üî,ILLLAN,T14090197,278.2,163,12.8,7
É½·¯,SYMSUM,T24060048,462.5,107.5,2.3,2.55
Ã«»¨Á¬Èï²è,CAMFRA,T14130284,279,249,1.4,2.31
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T14160090,267,312,3.6,4.7
±¡Ò¶É½·¯,SYMANO,T15160030,280.7,306,4.4,4.2
Ï¸Ö¦èÚ,EURLOQ,T07050069,122.4,87.6,2.9,4.5
»Æµ¤Ä¾½ª×Ó,LITELO,T04060135,79,108,4.2,3.75
ÎÞ»¼×Ó,SAPSAP,T24200140,475.1,399,9.5,17.6
ºìµ­±È,CLEJAP,T03030285,58.2,50.4,1.5,2.78
»Æµ¤Ä¾½ª×Ó,LITELO,T03080193,56.1,155.1,2.8,3.27
ºìµ­±È,CLEJAP,T14160261,279,310.9,14.8,18.1
éßÄ¾,SASTZU,T19020087,373.5,22.3,56.8,34.8
»Æµ¤Ä¾½ª×Ó,LITELO,T13140245,249.8,278.5,2.2,2.78
Ï¸Ö¦èÚ,EURLOQ,T17160103,328.5,306.6,2.9,3.35
±¡Ò¶É½·¯,SYMANO,T05130018,82.8,256.2,2,2.65
¸Û¿Â,LITHAR,T17190174,338.3,372.5,18.8,9.6
³àéª,SYZBUX,T07180012,123.5,344,6.8,4.9
Ï¸Ö¦èÚ,EURLOQ,T20080269,394,151.3,2.4,2.4
»¢Æ¤éª,DAPOLD,T22040167,432.5,66.8,6.5,4.9
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T11140004,217.7,260.4,5.4,5
ºìµ­±È,CLEJAP,T11070038,201.3,135.1,29.8,9
»Æµ¤Ä¾½ª×Ó,LITELO,T07110210,135,212.5,4,3.64
»Æµ¤Ä¾½ª×Ó,LITELO,T18030077,352,57.5,16.4,15.6
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01050003,0.4,82.8,2.7,2.95
Ï¸Ö¦èÚ,EURLOQ,T21060202,412.4,115.9,4.8,4
¸Û¿Â,LITHAR,T23100060,441.8,194.9,15.1,9.4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02120191,34,223.9,4.3,5.5
À×¹«¶ì¶úèÀ,CARVIM,T10040172,196.5,78.7,35.6,39.3
ÏÙÒ¶¹ðÓ£,LAUPHA,T24100236,476.1,187.6,4.4,4.3
Ìú¶¬Çà,ILEROT,T15090246,295.6,170.5,1.7,2.57
ºìµ­±È,CLEJAP,T03130181,47.5,242,10.2,5.5
Ï¸Ö¦èÚ,EURLOQ,T24030078,477.5,43.3,4.1,3.05
Ä¾ºÉ,SCHSUP,T19030208,364.2,57.5,15.2,13.8
À×¹«¶ì¶úèÀ,CARVIM,T24130038,478.8,255.3,28.5,9.6
Ã«»¨Á¬Èï²è,CAMFRA,T18190020,343.5,375.7,2.3,4.1
Ï¸Ö¦èÚ,EURLOQ,T1114B02439,204,269.5,4.3,4.4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06090226,110.6,164.5,7.8,5.5
»Æµ¤Ä¾½ª×Ó,LITELO,T02060012,21.4,104.2,1.8,2.7
Ï¸Ö¦èÚ,EURLOQ,T12080108,235.7,156,4,3.05
¸Û¿Â,LITHAR,T13010075,258,10.5,15.5,10.3
Ï¸Ö¦èÚ,EURLOQ,T25070210,490.6,126,1.3,2.15
Ï¸Ö¦èÚ,EURLOQ,T17040152,338.8,67.3,2.3,3.31
ÏÙÒ¶¹ðÓ£,LAUPHA,T25110300,497,201,3.7,4.5
Ï¸Ö¦èÚ,EURLOQ,T11120209,217.7,225.5,2.8,3.87
Õ­»ùºìºÖèÚ,EURRUB,T02050136,33.7,101.3,2.1,3.3
»Æµ¤Ä¾½ª×Ó,LITELO,T20090115,387.3,162.7,4.4,5.1
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T05160125,93,302.5,13.8,5.5
Èñ½ÇéÊ,ACEACU,T05040119,86,68.8,2.6,4.5
Ï¸Ö¦èÚ,EURLOQ,T08060094,154.5,113.5,6,5
¸Û¿Â,LITHAR,T14050009,278.7,82,23.1,36.4
»Æµ¤Ä¾½ª×Ó,LITELO,T12050286,236,94.5,2.5,2.49
Ï¸Ö¦èÚ,EURLOQ,T08040012,144.8,61.5,2.5,3.01
Ïã¹ð,CINSUB,T10160340,196.1,314.2,2.9,4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06030210,117.5,52.2,1.2,2.27
É½ÊÁ,DIOJAP,T05140167,86.5,264.5,40.1,22
»Æµ¤Ä¾½ª×Ó,LITELO,T17120170,329.9,239.4,7.2,9.6
ºìéª,MACTHU,T0718B2199,136.5,345,1.7,2
»Æµ¤Ä¾½ª×Ó,LITELO,T18040000,341,78.2,8.8,7
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T02050172,37.5,95.6,3.2,4.77
